title;published_date;author;description;price;weeks_on_list
THE FALL OF CRAZY HOUSE;2019-04-28;James Patterson and Gabrielle Charbonnet;Twin sisters Becca and Cassie go up against the United regime.;nan;2
THE FALL OF GONDOLIN;2018-09-16;JRR Tolkien;Thousands of years before the events of “The Lord of the Rings,” a hero named Tuor visits a secret city. Edited by Christopher Tolkien.;nan;1
THE FALLEN;2018-05-06;David Baldacci;Amos Decker, known as the Memory Man, puts his talents toward solving a string of murders in a Rust Belt town. 11 hours, 56 minutes unabridged. Read by Kyf Brewer and Orlagh Cassidy.;nan;6
THE FALLEN ANGEL;2012-08-05;Daniel Silva;Gabriel Allon, an art restorer and spy for the Israeli secret service, discovers a global criminal enterprise behind a murder at the Vatican. ;27.99;2
THE FALSE PRINCE;2013-03-24;Jennifer A Nielsen;Four orphans compete to impersonate a king’s son in a faraway land.;nan;1
THE FAME GAME;2012-04-22;Lauren Conrad;Madison Parker has her own show | now she must watch her back.;18.99;1
THE FAMILIAR, VOL. 1;2015-05-31;Mark Z Danielewski;This experimental story — the first in a planned 27-part series — ranges from California to Singapore, with nine lives hanging in the balance.;nan;1
THE FANTASTIC FLYING BOOKS OF MR. MORRIS LESSMORE;2012-07-08;William Joyce;Everything in Morris Lessmore’s life, including his own story, is scattered to the winds.;17.99;9
THE FAST METABOLISM DIET;2013-04-28;Haylie Pomroy with Eve Adamson;nan;nan;3
THE FASTDIET;2013-03-24;Michael Mosley and Mimi Spencer;A diet that calls for eating normally five days a week and fasting two days. ;24.0;6
THE FATES DIVIDE;2018-04-29;Veronica Roth;Cyra and Akos fight Lazmet, the tyrant who was thought to be dead.;nan;4
THE FAULT IN OUR STARS;2012-01-29;John Green;A 16-year-old heroine faces the medical realities of cancer.;17.99;128
THE FEATHER CHASE;2016-09-04;Shannon L Brown;nan;nan;1
THE FEMALE PERSUASION;2018-04-22;Meg Wolitzer;The relationship between a college freshman and a famous feminist reveals the challenges of intergenerational feminism.;nan;3
THE FIFTH ASSASSIN;2013-02-03;Brad Meltzer;Beecher White tracks an assassin who is recreating the crimes of the four men who murdered presidents. ;27.99;1
THE FIFTH BEATLE: THE BRIAN EPSTEIN STORY;2013-12-08;Vivek Tiwary and  Andrew C Robinson;The last several years in the life of Brian Epstein — who, as the manager of the Beatles, guided the band’s meteoric rise to pop stardom — are chronicled in this original graphic novel.;nan;4
THE FIFTH RISK;2018-10-21;Michael Lewis;"The author of ""The Big Short"" examines how the Trump administration staffs its federal agencies.";nan;2
THE FIFTH WITNESS;2011-04-24;Michael Connelly;Falling on tough times, Mickey Haller expands his legal practice into foreclosure defense, only to see one of his clients accused of killing the banker she blames for trying to take away her home.;27.99;4
THE FINAL CUT;2013-10-06;Catherine Coulter and JT Ellison;A Scotland Yard chief inspector teams up with two special agents from the F.B.I. to hunt for an international jewel thief.;nan;1
THE FINEST HOURS;2016-01-03;Michael J Tougias and Casey Sherman;The U.S. Coast Guard's perilous rescue of the passengers on two ships that were trapped off Cape Cod during a 1952 nor'easter.;nan;2
THE FINISH;2012-11-04;Mark Bowden;From 9/11 to the killing of Osama bin Laden, from the author of “Black Hawk Down.”;nan;1
THE FINISHER;2014-03-23;David Baldacci;A teenager uncovers the mysteries of Wormwood, a village surrounded by a beast-filled forest.;nan;18
THE FINKLER QUESTION;2010-11-14;Howard Jacobson;A mugging prompts a quest for self-discovery in this tale of anti-Semitism, friendship and wisdom | winner of this year’s Man Booker Prize.;15.0;3
THE FIRE CHRONICLE;2012-10-28;John Stephens;Three siblings long to find their parents | Book 2 of the Books of Beginnings.;17.99;1
THE FIRE KEEPER;2019-09-22;JC Cervantes;Zane must save all the godborns as well as rescue his father who’s scheduled to be executed.;nan;1
THE FIREMAN;2016-06-05;Joe Hill;During an epidemic that causes people to spontaneously combust, an infected New Hampshire nurse fights to stay alive, aided by a mysterious figure known as the Fireman.;nan;1
THE FIRST CONSPIRACY;2019-01-27;Brad Meltzer and Josh Mensch;The story of a secret plot to kill George Washington in 1776.;nan;6
THE FIRST FAMILY DETAIL;2014-08-24;Ronald Kessler;A reporter divulges details from Secret Service agents about the lives of presidents, ex-presidents and candidates, as well as about the service’s failings. ;nan;2
THE FIRST LADY;2019-03-31;James Patterson and Brendan DuBois;Sally Grissom investigates the disappearance of President Harrison Tucker’s wife.;nan;3
THE FIRST MAJOR;2017-11-05;John Feinstein;nan;nan;0
THE FIRST PHONE CALL FROM HEAVEN;2013-12-01;Mitch Albom;A small Michigan town is transformed when its residents receive phone calls said to be from heaven.;nan;10
THE FIRST RULE;2010-01-31;Robert Crais;Elvis Cole and his partner, Joe Pike, set out to clear the reputation of a former military contractor who has been murdered.;26.95;3
THE FIVE LOVE LANGUAGES;2010-01-03;Gary Chapman;How to communicate love in a way a spouse will understand.;14.99;297
THE FIVE LOVE LANGUAGES OF CHILDREN;2015-11-01;Gary D Chapman and Ross Campbell;How to effectively express and receive love in the ways that are especially meaningful and unique to one's child.;nan;0
THE FIX;2017-05-07;David Baldacci;The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.;nan;6
THE FIXED TRILOGY;2014-04-06;Laurelin Paige;"Collects ""Fixed on You,"" ""Found in You"" and ""Forever With You,"" the story of Alayna Wither and Hudson Pierce.";nan;6
THE FLASH, VOL. 1;2012-12-02;Francis Manapul and Brian Buccellato;"In the world of the ""New 52,"" Barry Allen is the fastest man alive. Watch him face off against Mob Rule and learn about his amazing abilities.";24.99;1
THE FLASH, VOL. 2;2013-09-08;Francis Manapul, Brian Buccellato and Marcus To;"This volume introduces the ""New 52"" iteration of the Rogues, a team of supervillains that includes Weather Wizard and Heat Wave, who set out to destroy the Flash.";nan;4
THE FLEDGLING HANDBOOK 101;2010-11-14;PC Cast with Kim Doner;From history to bodily changes, a compendium on vampirism for neophytesl.;12.99;3
THE FOOD BABE WAY;2015-03-01;Vani Hari;nan;nan;1
THE FOOD LAB;2015-10-04;J Kenji Lopez-Alt;Understanding the science of cooking can help you prepare better everyday dishes at home. Includes hundreds of recipes.;nan;8
THE FORBIDDEN DOOR;2018-09-30;Dean Koontz;Jane Hawk, a former F.B.I. agent, must stop a secret group using mind-control technology.;nan;1
THE FORBIDDEN GAME (THE HUNTER, THE CHASE, THE KILL);2010-06-27;L J Smith;In this dark game, the humans prove to be the playthings.;10.99;3
THE FORCE AWAKENS;2016-01-24;Alan Dean Foster;Three decades after the defeat of the Galactic Empire, a new threat arises | an adaptation of the screenplay of the new “Star Wars” movie.;nan;2
THE FOREVER OF ELLA AND MICHA;2013-06-16;Jessica Sorensen;When a new tragedy strikes Ella and Micha, one will make a choice that could break them apart forever.;nan;1
THE FORGETTING;2017-01-08;Sharon Cameron;nan;nan;1
THE FORGOTTEN;2012-12-09;David Baldacci;A special agent with the United States Army investigates his aunt’s mysterious death in a picture-perfect town on Florida’s Gulf Coast.;27.99;8
THE FORGOTTEN MAN: GRAPHIC EDITION;2014-06-15;Amity Shlaes, Paul Rivoche and Chuck Dixon;This reinterpretation of the New Deal and the Great Depression is adapted to graphic novel form.;nan;3
THE FORGOTTEN ROOM;2015-05-31;Lincoln Child;Probing a death, the “enigmatologist” Jeremy Logan discovers a hidden room at a Newport estate where a dangerous experiment took place. A sequel to “The Third Gate.”;nan;1
THE FORK, THE WITCH, AND THE WORM;2019-01-20;Christopher Paolini with Angela Paolini;Three stories set in the magical world of Alagaësia.;nan;14
THE FOUNTAINS OF SILENCE;2019-10-20;Ruta Sepetys;During the fascist rule of Spain, Ana and Daniel's romance blooms amid the turmoil.;nan;9
THE FOUR;2017-10-22;Scott Galloway;A study of Amazon, Apple, Facebook and Google, with suggestions on applying these companies' strategies to your own business or career.;nan;1
THE FOUR AGREEMENTS;2015-03-01;Don Miguel Ruiz;A practical guide to personal conduct and spiritual freedom.;nan;0
THE FOUR TENDENCIES;2017-10-01;Gretchen Rubin;nan;nan;1
THE FOURTEENTH GOLDFISH;2014-11-30;Jennifer L Holm;A cranky boy resembles Ellie’s grandfather.;nan;11
THE FREDDIE STORIES;2013-02-17;Lynda Barry;The cartoonist chronicles the ups-and-downs Freddie, the teenage member of the dysfunctional Mullen family.;19.95;1
THE FRENCH BEAUTY SOLUTION;2015-08-02;Mathilde Thomas;Daily beauty routines based on pleasurable habits.;nan;0
THE FULL PLATE DIET;2010-01-31;Stuart A Seale, Teresa Sherard and Diana Fleming;Keeping portions large but calories low with high-fiber eating.;19.95;3
THE FUTURE OF THE MIND;2014-03-16;Michio Kaku;A theoretical physicist looks to a possible future of telepathy, mind-controlled robots and the uploading of memories.;nan;2
THE GAMES;2016-07-17;James Patterson and Mark Sullivan;Hired by Olympic organizers to protect the Rio games, Jack Morgan of Private, an international security and consulting firm, encounters dangerous threats.;nan;3
THE GANGSTER;2016-03-20;Clive Cussler and Justin Scott;In the ninth book in this series, set in 1906, the New York detective Isaac Bell contends with a crime boss passing as a respectable businessman and a tycoon’s plot against President Theodore Roosevelt.;nan;1
THE GATHERING;2011-05-01;Kelley Armstrong;A girl’s paw-print birthmark, mountain lions and other strange goings-on in a Vancouver Island town;17.99;1
THE GENE;2016-06-05;Siddhartha Mukherjee;This overview of the history and science of genetics also considers moral questions and prospects for future advances in treating disease. By the Pulitzer Prize-winning author of “The Emperor of All Maladies.”;nan;3
THE GENIUS FILES: MISSION UNSTOPPABLE;2012-02-19;Dan Gutman;Twelve-year-old twins are part of a top-secret government organization.;6.99;2
THE GENIUS OF BIRDS;2016-05-01;Jennifer Ackerman;Research over the last twenty years reveals that many birds rival primates and even humans in their complex forms of intelligence.;nan;0
THE GENTLEMEN’S ALLIANCE, VOL.11;2010-04-25;Arina Tanemura;A star-crossed romance set at a private academy begins in the past when, in return for a loan of 50 million yen, the prestigious Kamiya family gave their daughter Haine away to the Otomiya family.;9.99;2
THE GEOGRAPHY OF GENIUS;2016-02-07;Eric Weiner;This travelogue celebrates the connections between our surroundings and our most creative and innovative ideas, from ancient Athens to Silicon Valley.;nan;0
THE GHOST ARMY OF WORLD WAR II;2016-12-04;Rick Beyer and Elizabeth Seyles;The daring strategies of a top-secret American unit who, in 1944, deceived the German army with inflatable tanks, sound effects, fake artillery and audacious distractions and decoys.;nan;0
THE GIFT;2011-03-06;James Patterson and Ned Rust;A sister and brother flex their new powers.;17.99;11
THE GIFT OF FEAR;2015-05-03;Gavin De Becker;Intuitive signals that can protect us from becomingthe victims of violence.;nan;0
THE GIFTS OF IMPERFECTION;2013-04-21;Brené Brown;Letting go of who you think you’re supposed to be to embrace who you are.;14.95;42
THE GIGANTIC BEARD THAT WAS EVIL;2015-01-11;Stephen Collins;On the magical island of Here, a powerful and unruly beard disrupts the previously tidy and hairless existence of Dave, the island's most fastidious resident.;nan;1
THE GILDED WOLVES;2019-02-03;Roshani Chokshi;In 1889 Paris, Séverin gathers a team to help him find an ancient artifact and reclaim his birthright.;nan;1
THE GIRL BEFORE;2017-02-12;J P Delaney;A sadistic architect builds a modern house that controls its (young, female) inhabitants in this psychological thriller, soon to be a major motion picture.;nan;2
THE GIRL IN THE SPIDER'S WEB;2015-09-20;David Lagercrantz;Mikael Blomkvist and Lisbeth Salander are back in this continuation of Steig Larsson's Millennium series.;nan;10
THE GIRL ON THE TRAIN;2015-02-01;Paula Hawkins;A psychological thriller set in London is full of complications and betrayals.;nan;96
THE GIRL WHO COULD FLY;2011-07-31;Victoria Forester;A girl soars into a nightmare of villains who tinker with DNA.;6.99;6
THE GIRL WHO DRANK THE MOON;2016-12-18;Kelly Barnhill;nan;nan;51
THE GIRL WHO KICKED THE HORNET’S NEST;2010-06-13;Stieg Larsson;The third volume of a trilogy about a Swedish hacker and a journalist.;27.95;76
THE GIRL WHO LIVED TWICE;2019-09-15;David Lagercrantz;Mikael Blomkvist helps Lisbeth Salander put her past behind her in the latest installment of Stieg Larsson's Millennium series.;nan;4
THE GIRL WHO PLAYED WITH FIRE;2010-04-11;Stieg Larsson;A Swedish hacker becomes a murder suspect.;15.95;88
THE GIRL WHO TAKES AN EYE FOR AN EYE;2017-10-01;David Lagercrantz;Lisbeth Salander teams up with an investigative journalist to uncover the secrets of her childhood. A continuation of Stieg Larsson's Millennium series.;nan;2
THE GIRL WITH THE DRAGON TATTOO;2010-01-03;Stieg Larsson;A hacker and a journalist investigate the disappearance of a Swedish heiress.;14.95;144
THE GIRL WITH THE DRAGON TATTOO, BOOK 2;2013-06-09;Denise Mina and Leonardo Manco;"This is part two of a six-part adaption of Stieg Larsson’s ""Millennium Trilogy.""";nan;2
THE GIRL WITH THE LOWER BACK TATTOO;2016-09-04;Amy Schumer;Humorous personal essays by the comedian, actor and writer.;nan;8
THE GIRL WITH THE MAKE-BELIEVE HUSBAND;2017-06-18;Julia Quinn;An orphan pretends to be an unconscious officer's wife.;nan;1
THE GIRLS;2016-07-03;Emma Cline;In the summer of 1969, a California teenager is drawn to a Manson-like cult.;nan;7
THE GIVER OF STARS;2019-11-17;Jojo Moyes;In Depression-era America, five women refuse to be cowed by men or convention as they deliver books throughout the mountains of Kentucky.;nan;3
THE GLASS CASTLE;2010-01-31;Jeannette Walls;The author recalls a bizarre childhood during which she and her siblings were constantly on the move.;16.0;413
THE GLITTERING COURT;2016-04-24;Richelle Mead;nan;nan;3
THE GOAL;2016-10-16;Elle Kennedy;Pregnancy complicates the budding relationship between a college senior and a hockey player.;nan;1
THE GODFATHER NOTEBOOK;2016-12-11;Francis Ford Coppola;The director's notes on and annotations to the novel that led to the screen sensation.;nan;1
THE GODS OF GUILT;2013-12-22;Michael Connelly;Mickey Haller, a.k.a. the Lincoln lawyer, defends a “digital pimp” accused of murder.;nan;4
THE GOLDEN LILY;2012-07-01;Richelle Mead;"An alchemist and a Moroi princess guard secrets | ""Bloodlines"" series, Book 2.";18.99;2
THE GOLDFINCH;2013-11-10;Donna Tartt;A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.;nan;50
THE GOOD DAUGHTER;2017-08-27;Karin Slaughter;The lawyer Charlotte Quinn is challenged when violence returns to her hometown of Pikesville.;nan;1
THE GOOD EGG;2019-03-03;Jory John;An egg who is good to others learns to be good to itself.;nan;10
THE GOOD FIGHT;2018-07-29;Danielle Steel;Meredith McKenzie embraces and eschews the values of her family of lawyers during the tumultuous 1960s.;nan;1
THE GOOD GIRL;2015-08-09;Mary Kubica;When the daughter of a prominent Chicago family is kidnapped and returned with no memory of her experience, her mother and a detective try to understand what has happened.;nan;2
